"Player","Team","REC","YDS","TDS","ATT","YDS","TDS","FL","FPTS"
" ","","",""
"Davante Adams","GB","7.8","103.0","0.8","0.0","0.0","0.0","0.1","15.0"
"Tyreek Hill","KC","6.5","92.9","0.8","1.1","6.3","0.0","0.1","14.8"
"Cooper Kupp","LAR","7.0","87.9","0.8","0.3","1.2","0.0","0.1","13.6"
"Stefon Diggs","BUF","6.4","88.4","0.7","0.1","0.5","0.0","0.1","12.9"
"D.J. Moore","CAR","6.3","89.7","0.5","0.5","3.6","0.0","0.1","12.5"
"Terry McLaurin","WAS","6.1","86.3","0.7","0.1","0.4","0.0","0.1","12.5"
"Ja'Marr Chase","CIN","5.1","78.4","0.7","0.3","1.3","0.0","0.0","11.9"
"Justin Jefferson","MIN","5.8","85.4","0.6","0.0","0.2","0.0","0.0","11.8"
"Diontae Johnson","PIT","6.8","80.4","0.6","0.1","0.8","0.0","0.1","11.7"
"DeAndre Hopkins","ARI","6.0","76.3","0.6","0.0","0.2","0.0","0.1","11.2"
"Mike Evans","TB","5.1","73.8","0.7","0.0","0.0","0.0","0.0","11.2"
"Marquise Brown","BAL","5.3","72.0","0.6","0.2","1.1","0.0","0.0","11.2"
"D.K. Metcalf","SEA","5.1","77.2","0.6","0.0","0.2","0.0","0.1","11.0"
"DeVonta Smith","PHI","5.5","74.3","0.5","0.1","0.6","0.0","0.1","10.6"
"Brandin Cooks","HOU","5.7","77.8","0.4","0.3","1.6","0.0","0.0","10.6"
"Keenan Allen","LAC","6.6","74.9","0.5","0.1","0.4","0.0","0.1","10.5"
"Chris Godwin","TB","5.4","70.9","0.5","0.1","0.5","0.0","0.1","10.4"
"Robert Woods","LAR","5.7","67.1","0.5","1.2","6.7","0.1","0.1","10.3"
"Courtland Sutton","DEN","5.3","74.2","0.5","0.0","0.2","0.0","0.0","10.3"
"CeeDee Lamb","DAL","5.4","72.4","0.4","0.7","4.2","0.0","0.1","10.3"
"Amari Cooper","DAL","5.0","67.0","0.6","0.1","0.7","0.0","0.0","10.2"
"Antonio Brown","TB","4.7","63.1","0.6","0.3","1.5","0.0","0.0","10.2"
"Chase Claypool","PIT","4.8","70.8","0.4","0.5","2.6","0.0","0.0","10.1"
"A.J. Brown","TEN","4.7","66.9","0.5","0.2","1.6","0.0","0.0","10.1"
"Adam Thielen","MIN","5.0","61.8","0.6","0.1","0.4","0.0","0.0","9.9"
"Michael Pittman Jr.","IND","5.4","70.2","0.4","0.2","1.6","0.0","0.0","9.6"
"Emmanuel Sanders","BUF","4.7","62.2","0.5","0.1","0.6","0.0","0.0","9.6"
"Mike Williams","LAC","4.3","65.3","0.5","0.0","0.1","0.0","0.0","9.4"
"Tyler Lockett","SEA","5.6","72.1","0.3","0.1","0.4","0.0","0.0","9.1"
"Marvin Jones Jr.","JAC","4.7","65.9","0.4","0.0","0.0","0.0","0.0","9.1"
"Tee Higgins","CIN","4.7","63.6","0.4","0.1","0.6","0.0","0.1","8.8"
"Tyler Boyd","CIN","5.2","62.7","0.4","0.1","1.0","0.0","0.1","8.8"
"Jaylen Waddle","MIA","5.6","64.4","0.3","0.4","2.5","0.0","0.1","8.6"
"Tim Patrick","DEN","4.6","58.7","0.4","0.1","0.7","0.0","0.0","8.5"
"Kadarius Toney","NYG","4.9","60.1","0.3","0.6","3.2","0.0","0.0","8.4"
"Jakobi Meyers","NE","6.1","72.6","0.2","0.1","0.2","0.0","0.0","8.3"
"Laviska Shenault Jr.","JAC","4.6","54.9","0.4","1.0","5.1","0.0","0.0","8.2"
"Odell Beckham Jr.","CLE","4.2","61.2","0.3","0.4","2.9","0.0","0.0","8.2"
"Allen Robinson II","CHI","4.9","59.6","0.3","0.0","0.0","0.0","0.0","7.6"
"Julio Jones","TEN","4.5","60.6","0.2","0.0","0.1","0.0","0.0","7.4"
"Cole Beasley","BUF","4.7","54.5","0.3","0.0","0.0","0.0","0.0","7.3"
"Robby Anderson","CAR","4.2","54.5","0.3","0.3","1.6","0.0","0.0","7.1"
"Hunter Renfrow","LV","4.6","54.3","0.3","0.0","0.0","0.0","0.0","6.9"
"Mecole Hardman","KC","3.7","48.8","0.3","0.5","3.7","0.0","0.1","6.9"
"Darnell Mooney","CHI","4.2","51.3","0.3","0.3","1.9","0.0","0.0","6.8"
"Henry Ruggs III","LV","3.3","54.1","0.2","0.5","2.2","0.0","0.1","6.8"
"Rondale Moore","ARI","3.3","41.8","0.3","0.9","5.4","0.0","0.0","6.6"
"Sterling Shepard","NYG","4.7","52.5","0.2","0.3","1.7","0.0","0.0","6.5"
"Nelson Agholor","NE","3.9","50.2","0.2","0.2","1.1","0.0","0.0","6.4"
"Amon-Ra St. Brown","DET","4.4","53.1","0.2","0.1","0.3","0.0","0.0","6.3"
"A.J. Green","ARI","3.4","46.5","0.2","0.0","0.0","0.0","0.0","5.9"
"Christian Kirk","ARI","3.5","45.2","0.2","0.2","1.6","0.0","0.0","5.8"
"Kalif Raymond","DET","3.0","46.3","0.2","0.1","0.3","0.0","0.0","5.8"
"Zach Pascal","IND","3.2","42.3","0.3","0.0","0.2","0.0","0.0","5.7"
"Jalen Reagor","PHI","3.7","43.4","0.2","0.2","1.4","0.0","0.0","5.5"
"Van Jefferson","LAR","3.1","41.5","0.2","0.0","0.1","0.0","0.0","5.5"
"Randall Cobb","GB","3.3","41.2","0.2","0.1","0.4","0.0","0.0","5.4"
"Allen Lazard","GB","2.8","38.6","0.2","0.1","0.6","0.0","0.0","5.2"
"Jarvis Landry","CLE","2.9","34.0","0.2","0.1","0.9","0.0","0.0","5.1"
"Kendrick Bourne","NE","2.9","38.6","0.2","0.1","0.8","0.0","0.0","4.9"
"John Brown","DEN","2.7","36.4","0.2","0.1","0.3","0.0","0.0","4.9"
"K.J. Osborn","MIN","3.0","37.6","0.1","0.1","0.8","0.0","0.0","4.7"
"Quez Watkins","PHI","2.9","39.5","0.1","0.0","0.3","0.0","0.0","4.6"
"Darius Slayton","NYG","2.4","36.9","0.1","0.0","0.1","0.0","0.0","4.5"
"Terrace Marshall Jr.","CAR","3.1","37.4","0.1","0.0","0.3","0.0","0.0","4.5"
"Bryan Edwards","LV","2.4","37.4","0.1","0.0","0.0","0.0","0.0","4.4"
"Adam Humphries","WAS","3.2","34.9","0.1","0.0","0.1","0.0","0.0","4.3"
"T.Y. Hilton","IND","2.3","32.1","0.2","0.0","0.0","0.0","0.0","4.2"
"Chris Conley","HOU","2.4","33.4","0.1","0.0","0.2","0.0","0.1","4.1"
"Jalen Guyton","LAC","2.1","30.3","0.1","0.4","2.4","0.0","0.0","4.0"
"Rashard Higgins","CLE","2.2","31.8","0.1","0.0","0.0","0.0","0.0","4.0"
"Rashod Bateman","BAL","2.5","31.4","0.1","0.0","0.3","0.0","0.0","3.9"
"James Washington","PIT","2.2","32.0","0.1","0.0","0.0","0.0","0.0","3.8"
"Cedrick Wilson Jr.","DAL","2.3","28.0","0.2","0.2","0.7","0.0","0.0","3.8"
"Danny Amendola","HOU","2.6","28.7","0.1","0.0","0.1","0.0","0.0","3.7"
"DeSean Jackson","LAR","1.8","28.7","0.1","0.0","0.3","0.0","0.0","3.7"
"Donovan Peoples-Jones","CLE","2.2","30.9","0.1","0.0","0.1","0.0","0.1","3.6"
"KhaDarel Hodge","DET","2.1","29.1","0.1","0.0","0.0","0.0","0.0","3.5"
"Devin Duvernay","BAL","2.4","28.3","0.1","0.1","1.2","0.0","0.0","3.5"
"Tavon Austin","JAC","2.4","27.0","0.1","0.3","1.5","0.0","0.0","3.4"
"Dyami Brown","WAS","1.9","25.4","0.1","0.1","0.6","0.0","0.0","3.3"
"Freddie Swain","SEA","2.1","26.4","0.1","0.3","1.6","0.0","0.0","3.3"
"Parris Campbell","IND","2.3","27.7","0.1","0.2","1.5","0.0","0.0","3.3"
"John Ross","NYG","1.8","24.7","0.1","0.1","0.2","0.0","0.0","3.3"
"Josh Gordon","KC","1.5","23.4","0.1","0.0","0.0","0.0","0.0","3.2"
"Kendall Hinton","DEN","1.8","21.8","0.1","0.2","1.1","0.0","0.0","3.2"
"Demarcus Robinson","KC","1.8","22.1","0.2","0.0","0.0","0.0","0.0","3.1"
"Tyler Johnson","TB","1.7","23.4","0.1","0.0","0.1","0.0","0.0","3.0"
"Marquise Goodwin","CHI","1.5","22.7","0.1","0.2","1.4","0.0","0.0","3.0"
"Albert Wilson","MIA","2.3","24.1","0.1","0.1","0.6","0.0","0.0","2.9"
"Jamal Agnew","JAC","1.9","20.3","0.1","0.5","3.0","0.0","0.0","2.9"
"Chris Moore","HOU","1.7","23.1","0.1","0.1","0.1","0.0","0.0","2.9"
"Marcus Johnson","TEN","1.9","24.2","0.1","0.0","0.0","0.0","0.0","2.9"
"DeAndre Carter","WAS","1.7","20.8","0.1","0.3","2.0","0.0","0.0","2.7"
"Chester Rogers","TEN","2.1","21.9","0.1","0.1","0.7","0.0","0.0","2.7"
"Trinity Benson","DET","1.7","22.2","0.1","0.0","0.2","0.0","0.0","2.7"
"Josh Reynolds","TEN","1.7","20.3","0.1","0.0","0.2","0.0","0.0","2.5"
"James Proche II","BAL","1.5","18.9","0.1","0.0","0.2","0.0","0.0","2.4"
"Gabriel Davis","BUF","1.1","17.4","0.1","0.0","0.0","0.0","0.0","2.4"
"N'Keal Harry","NE","1.7","18.9","0.1","0.1","0.4","0.0","0.0","2.3"
"Joshua Palmer","LAC","1.4","15.4","0.1","0.1","0.5","0.0","0.0","2.2"
"Collin Johnson","NYG","1.4","17.5","0.1","0.0","0.0","0.0","0.0","2.1"
"Nico Collins","HOU","1.2","17.5","0.1","0.1","0.3","0.0","0.0","2.1"
"Mack Hollins","MIA","1.3","16.3","0.1","0.0","0.0","0.0","0.0","2.0"
"Byron Pringle","KC","1.2","15.4","0.1","0.0","0.0","0.0","0.0","2.0"
"Dede Westbrook","MIN","1.3","13.8","0.1","0.1","0.4","0.0","0.0","1.7"
"Greg Ward","PHI","1.4","13.2","0.1","0.0","0.1","0.0","0.0","1.7"
"Anthony Schwartz","CLE","1.0","12.5","0.0","0.3","2.1","0.0","0.0","1.7"
"Ray-Ray McCloud","PIT","1.7","13.6","0.0","0.2","2.2","0.0","0.1","1.7"
"Noah Brown","DAL","1.1","13.5","0.0","0.0","0.1","0.0","0.0","1.6"
"Damiere Byrd","CHI","1.0","12.8","0.1","0.0","0.1","0.0","0.0","1.6"
"Brandon Zylstra","CAR","0.9","12.4","0.1","0.0","0.2","0.0","0.0","1.6"
"Anthony Miller","PIT","1.2","13.7","0.0","0.0","0.1","0.0","0.0","1.6"
"Auden Tate","CIN","1.1","13.5","0.0","0.0","0.0","0.0","0.0","1.5"
"David Moore","DEN","0.8","9.9","0.1","0.1","0.6","0.0","0.0","1.4"
"Dax Milne","WAS","0.8","9.6","0.1","0.0","0.1","0.0","0.0","1.3"
"C.J. Board","NYG","1.0","11.3","0.0","0.1","0.3","0.0","0.0","1.3"
"Isaiah McKenzie","BUF","0.8","7.7","0.0","0.2","1.6","0.0","0.0","1.2"
"Willie Snead IV","LV","0.8","9.9","0.0","0.0","0.0","0.0","0.0","1.2"
"Penny Hart","SEA","0.8","10.0","0.0","0.0","0.1","0.0","0.0","1.1"
"Ashton Dulin","IND","0.6","8.6","0.0","0.0","0.4","0.0","0.0","1.1"
"Jakeem Grant Sr.","CHI","0.8","9.2","0.0","0.0","0.1","0.0","0.0","1.1"
"Nick Westbrook-Ikhine","TEN","0.6","8.8","0.0","0.0","0.1","0.0","0.0","1.0"
"Amari Rodgers","GB","0.6","8.4","0.0","0.0","0.2","0.0","0.0","1.0"
"Zay Jones","LV","0.7","8.0","0.0","0.0","0.0","0.0","0.0","1.0"
"Tutu Atwell","LAR","0.4","5.9","0.0","0.0","0.3","0.0","0.0","0.9"
"Trenton Irwin","CIN","0.5","5.5","0.1","0.0","0.0","0.0","0.0","0.9"
"Jody Fortson","KC","0.6","8.0","0.0","0.0","0.1","0.0","0.0","0.8"
"Miles Boykin","BAL","0.5","5.9","0.0","0.0","0.0","0.0","0.0","0.8"
"Diontae Spencer","DEN","0.8","6.4","0.0","0.2","1.2","0.0","0.1","0.8"
"Isaiah Ford","MIA","0.7","7.3","0.0","0.0","0.1","0.0","0.0","0.7"
"Mike Thomas","CIN","0.4","5.2","0.0","0.0","0.1","0.0","0.0","0.7"
"Jake Kumerow","BUF","0.4","7.1","0.0","0.0","0.0","0.0","0.0","0.7"
"Equanimeous St. Brown","GB","0.4","5.9","0.0","0.0","0.1","0.0","0.0","0.7"
"Mike Strachan","IND","0.4","4.9","0.0","0.0","0.1","0.0","0.0","0.6"
"Cameron Batson","TEN","0.5","4.7","0.0","0.1","0.8","0.0","0.0","0.6"
"Tom Kennedy","DET","0.3","4.3","0.0","0.0","0.2","0.0","0.0","0.6"
"Alex Erickson","CAR","0.4","5.0","0.0","0.1","0.5","0.0","0.0","0.6"
"J.J. Arcega-Whiteside","PHI","0.3","5.3","0.0","0.0","0.0","0.0","0.0","0.6"
"Malik Turner","DAL","0.3","4.3","0.0","0.0","0.1","0.0","0.0","0.5"
"Phillip Dorsett II","SEA","0.4","5.0","0.0","0.0","0.0","0.0","0.0","0.5"
"Tyrie Cleveland","DEN","0.6","5.0","0.0","0.0","0.0","0.0","0.0","0.5"
"Davion Davis","HOU","0.4","4.6","0.0","0.0","0.1","0.0","0.0","0.5"
"K.J. Hill Jr.","LAC","0.3","4.1","0.0","0.0","0.1","0.0","0.0","0.5"
"Andre Roberts","HOU","0.3","3.6","0.0","0.0","0.4","0.0","0.0","0.5"
"Ben Skowronek","LAR","0.2","3.3","0.0","0.0","0.2","0.0","0.0","0.4"
"Tylan Wallace","BAL","0.1","3.3","0.0","0.0","0.2","0.0","0.0","0.4"
"Ihmir Smith-Marsette","MIN","0.2","2.7","0.0","0.0","0.5","0.0","0.0","0.4"
"Marcus Kemp","KC","0.2","2.9","0.0","0.0","0.1","0.0","0.0","0.4"
"Matthew Slater","NE","0.1","3.0","0.0","0.0","0.2","0.0","0.0","0.4"
"Gunner Olszewski","NE","0.1","2.2","0.0","0.0","0.1","0.0","0.0","0.3"
"Jaydon Mickens","TB","0.1","2.3","0.0","0.0","0.1","0.0","0.0","0.2"
"Stanley Morgan Jr.","CIN","0.2","1.9","0.0","0.0","0.1","0.0","0.0","0.2"
"Antonio Gandy-Golden","WAS","0.2","2.0","0.0","0.0","0.0","0.0","0.0","0.2"
"Kirk Merritt","MIA","0.2","2.0","0.0","0.0","0.0","0.0","0.0","0.2"
"Andy Isabella","ARI","0.1","2.0","0.0","0.0","0.0","0.0","0.0","0.2"
"Antoine Wesley","ARI","0.1","1.0","0.0","0.0","0.0","0.0","0.0","0.1"
""
""