"Player","Team","SACK","INT","FR","FF","TD","SAFETY","PA","YDS_AGN","FPTS"
"Indianapolis Colts","","2.7","1.1","0.6","1.1","0.2","0.1","18.7","311.6","8.4"
"Pittsburgh Steelers","","2.9","0.9","0.6","0.9","0.1","0.0","18.7","328.9","7.6"
"Green Bay Packers","","2.8","0.9","0.5","0.6","0.1","0.0","19.9","293.8","7.5"
"Los Angeles Rams","","3.0","0.9","0.7","1.0","0.1","0.0","20.0","336.9","7.1"
"Minnesota Vikings","","2.9","1.1","0.5","0.7","0.1","0.0","21.7","349.6","7.0"
"Tampa Bay Buccaneers","","2.8","0.9","0.7","1.0","0.1","0.0","21.8","336.7","6.7"
"Buffalo Bills","","2.6","0.9","0.7","1.1","0.1","0.0","21.1","351.4","6.6"
"Miami Dolphins","","2.2","1.1","0.6","1.0","0.2","0.0","21.7","358.9","6.5"
"Dallas Cowboys","","2.4","0.9","0.6","1.0","0.1","0.0","22.1","346.5","6.4"
"Kansas City Chiefs","","2.2","1.0","0.6","0.8","0.1","0.0","24.7","356.5","6.2"
"Arizona Cardinals","","2.4","0.8","0.7","1.2","0.1","0.0","24.0","359.3","6.1"
"Denver Broncos","","2.4","0.8","0.6","0.8","0.1","0.0","20.1","354.1","6.1"
"Cleveland Browns","","2.4","0.9","0.6","0.8","0.1","0.0","23.4","363.9","6.1"
"Detroit Lions","","2.6","0.7","0.6","0.9","0.1","0.0","24.4","364.8","6.0"
"Los Angeles Chargers","","2.5","0.8","0.5","0.7","0.1","0.0","25.2","380.2","5.9"
"Carolina Panthers","","2.5","0.7","0.6","0.8","0.1","0.0","22.5","355.9","5.8"
"Las Vegas Raiders","","2.4","0.7","0.6","0.8","0.1","0.0","23.2","354.7","5.8"
"Baltimore Ravens","","2.3","0.7","0.6","0.9","0.1","0.1","23.5","387.9","5.8"
"Jacksonville Jaguars","","2.3","0.8","0.5","0.7","0.1","0.0","23.5","344.9","5.8"
"Cincinnati Bengals","","2.2","0.8","0.5","0.7","0.1","0.0","21.1","346.4","5.8"
"Houston Texans","","2.5","0.6","0.6","0.8","0.1","0.0","26.1","366.5","5.6"
"New England Patriots","","2.2","0.8","0.5","0.7","0.1","0.0","24.4","391.2","5.5"
"Chicago Bears","","2.2","0.6","0.6","0.9","0.1","0.0","22.9","364.2","5.3"
"Washington Football Team","","2.0","0.8","0.6","0.9","0.1","0.0","28.0","401.2","5.3"
"Tennessee Titans","","2.1","0.7","0.5","0.7","0.1","0.0","28.1","399.7","5.2"
"Seattle Seahawks","","1.7","0.8","0.6","0.8","0.1","0.0","23.1","335.7","5.2"
"Philadelphia Eagles","","2.2","0.6","0.5","0.7","0.1","0.0","27.3","382.2","5.2"
"New York Giants","","2.0","0.7","0.5","0.7","0.1","0.0","26.4","385.8","5.0"
""
""