"Player","Team","FG","FGA","XPT","FPTS"
"Ryan Succop","TB","1.8","2.2","3.1","8.6"
"Ryan Santoso","DET","2.1","2.4","1.9","8.2"
"Matt Gay","LAR","1.8","2.1","2.8","8.2"
"Justin Tucker","BAL","1.8","2.1","2.7","8.2"
"Harrison Butker","KC","1.6","1.8","3.2","8.1"
"Mason Crosby","GB","1.9","2.2","2.3","8.1"
"Tyler Bass","BUF","1.7","2.1","3.0","8.0"
"Greg Zuerlein","DAL","1.8","2.2","2.4","7.8"
"Nick Folk","NE","1.9","2.2","2.1","7.8"
"Chris Boswell","PIT","1.8","2.1","2.3","7.7"
"Brandon McManus","DEN","1.8","2.1","2.4","7.7"
"Michael Badgley","IND","1.7","2.2","2.5","7.6"
"Evan McPherson","CIN","1.7","2.1","2.5","7.6"
"Zane Gonzalez","CAR","1.7","2.1","2.2","7.4"
"Randy Bullock","TEN","1.7","2.0","2.2","7.4"
"Dustin Hopkins","WAS","1.6","1.9","2.5","7.3"
"Greg Joseph","MIN","1.7","2.0","2.3","7.3"
"Tristan Vizcaino","LAC","1.6","1.9","2.4","7.2"
"Chase McLaughlin","CLE","1.6","1.9","2.4","7.1"
"Jason Sanders","MIA","1.6","1.9","2.2","7.1"
"Daniel Carlson","LV","1.7","2.0","1.9","7.1"
"Graham Gano","NYG","1.7","1.9","2.1","7.0"
"Jake Elliott","PHI","1.7","2.0","1.8","6.9"
"Matt Prater","ARI","1.5","1.8","2.4","6.8"
"Cairo Santos","CHI","1.6","1.9","1.9","6.8"
"Jason Myers","SEA","1.5","1.8","2.2","6.7"
"Austin Seibert","DET","1.5","1.7","2.1","6.4"
"Matthew Wright","JAC","1.2","1.3","2.3","5.9"
"Ka'imi Fairbairn","HOU","1.3","1.5","1.9","5.8"
""
""