"Player","Team","REC","YDS","TDS","FL","FPTS"
" ","",""
"Travis Kelce","KC","7.0","88.2","0.8","0.1","13.3"
"Mark Andrews","BAL","5.4","66.9","0.7","0.1","10.5"
"Darren Waller","LV","6.2","73.4","0.5","0.1","10.3"
"T.J. Hockenson","DET","4.8","54.7","0.4","0.0","8.1"
"Mike Gesicki","MIA","4.4","54.2","0.4","0.0","8.0"
"Dawson Knox","BUF","3.5","43.5","0.5","0.0","7.5"
"Dalton Schultz","DAL","4.4","48.1","0.4","0.0","7.2"
"Zach Ertz","ARI","4.6","46.8","0.4","0.0","6.8"
"Hunter Henry","NE","4.2","45.6","0.4","0.0","6.8"
"Noah Fant","DEN","4.6","48.7","0.3","0.0","6.7"
"Jared Cook","LAC","3.5","45.2","0.3","0.0","6.2"
"Ricky Seals-Jones","WAS","3.4","41.6","0.3","0.0","6.1"
"Tyler Higbee","LAR","3.7","40.5","0.3","0.0","5.7"
"Dan Arnold","JAC","3.2","40.4","0.2","0.1","5.1"
"Robert Tonyan","GB","2.9","32.5","0.2","0.0","4.7"
"Evan Engram","NYG","3.3","35.9","0.1","0.1","4.3"
"Tyler Conklin","MIN","3.3","33.0","0.2","0.0","4.2"
"David Njoku","CLE","2.6","32.5","0.2","0.0","4.2"
"Mo Alie-Cox","IND","2.4","29.2","0.2","0.0","4.1"
"Cameron Brate","TB","2.8","28.2","0.2","0.0","4.0"
"C.J. Uzomah","CIN","2.5","29.1","0.2","0.0","4.0"
"Austin Hooper","CLE","3.0","29.5","0.2","0.0","3.9"
"Jonnu Smith","NE","2.6","27.0","0.2","0.0","3.7"
"Cole Kmet","CHI","2.9","27.6","0.2","0.0","3.7"
"Anthony Firkser","TEN","2.7","28.8","0.1","0.0","3.6"
"Pat Freiermuth","PIT","2.4","26.0","0.2","0.0","3.6"
"O.J. Howard","TB","1.9","25.0","0.2","0.0","3.5"
"Gerald Everett","SEA","2.5","26.1","0.1","0.0","3.3"
"Devin Asiasi","NE","1.9","20.2","0.2","0.0","3.2"
"Jack Doyle","IND","2.1","22.8","0.1","0.0","3.0"
"Blake Jarwin","DAL","1.8","20.4","0.1","0.0","2.8"
"Pharaoh Brown","HOU","1.8","20.6","0.1","0.0","2.6"
"Ian Thomas","CAR","2.1","20.9","0.1","0.0","2.6"
"Donald Parham Jr.","LAC","1.5","17.2","0.1","0.0","2.5"
"Eric Ebron","PIT","1.8","18.8","0.1","0.0","2.5"
"Jordan Akins","HOU","1.8","20.5","0.1","0.0","2.5"
"Tommy Tremble","CAR","1.6","17.7","0.1","0.0","2.3"
"Will Dissly","SEA","1.5","16.9","0.1","0.0","2.2"
"MyCole Pruitt","TEN","1.1","12.5","0.1","0.0","1.8"
"Harrison Bryant","CLE","1.4","15.0","0.1","0.1","1.8"
"Brevin Jordan","HOU","1.0","11.4","0.1","0.0","1.7"
"Demetrius Harris","ARI","1.2","12.3","0.1","0.0","1.7"
"Kyle Rudolph","NYG","1.4","14.0","0.1","0.0","1.7"
"Durham Smythe","MIA","1.3","12.5","0.1","0.0","1.6"
"Marcedes Lewis","GB","1.0","11.8","0.1","0.0","1.6"
"Jason Croom","PHI","0.9","10.2","0.1","0.0","1.6"
"Geoff Swaim","TEN","1.2","11.8","0.1","0.0","1.5"
"Jacob Hollister","JAC","1.2","11.2","0.1","0.0","1.5"
"Darrell Daniels","ARI","1.3","13.2","0.0","0.0","1.5"
"Jimmy Graham","CHI","1.0","10.6","0.1","0.0","1.4"
"Brycen Hopkins","LAR","0.8","8.4","0.1","0.0","1.4"
"Tommy Sweeney","BUF","1.1","11.3","0.1","0.0","1.4"
"Kylen Granson","IND","1.0","10.8","0.1","0.0","1.4"
"Colby Parkinson","SEA","1.1","11.8","0.0","0.0","1.4"
"Noah Gray","KC","1.0","10.8","0.1","0.0","1.4"
"Hunter Long","MIA","0.7","7.4","0.1","0.0","1.3"
"Darren Fells","DET","0.8","10.3","0.0","0.0","1.3"
"Chris Manhertz","JAC","0.7","9.3","0.1","0.0","1.2"
"Antony Auclair","HOU","0.8","9.1","0.1","0.0","1.2"
"Chris Herndon IV","MIN","0.8","8.6","0.1","0.0","1.2"
"John Bates","WAS","1.0","10.2","0.0","0.0","1.1"
"Tre' McKitty","LAC","0.8","8.5","0.1","0.0","1.1"
"Jack Stoll","PHI","0.8","9.0","0.0","0.0","1.1"
"Jesper Horsted","CHI","0.8","7.8","0.0","0.0","1.1"
"Stephen Anderson","LAC","0.8","9.0","0.0","0.0","1.1"
"Josh Oliver","BAL","0.8","8.7","0.0","0.0","1.0"
"Jody Fortson","KC","0.6","6.6","0.1","0.0","1.0"
"Reggie Gilliam","BUF","0.5","4.3","0.1","0.0","1.0"
"Eric Saubert","DEN","1.1","9.3","0.0","0.0","1.0"
"Foster Moreau","LV","0.7","8.1","0.0","0.0","1.0"
"Luke Farrell","JAC","0.8","8.0","0.0","0.0","1.0"
"Drew Sample","CIN","0.8","7.7","0.0","0.0","0.9"
"Zach Gentry","PIT","0.8","8.0","0.0","0.0","0.8"
"Jace Sternberger","WAS","0.6","6.0","0.0","0.0","0.8"
"Jacob Harris","LAR","0.5","5.8","0.0","0.0","0.8"
"Colin Thompson","CAR","0.5","5.6","0.0","0.0","0.8"
"Giovanni Ricci","CAR","0.7","7.1","0.0","0.0","0.7"
"Kaden Smith","NYG","0.9","7.1","0.0","0.0","0.7"
"Kalif Jackson","MIA","0.7","7.2","0.0","0.0","0.7"
"Johnny Mundt","LAR","0.6","7.1","0.0","0.0","0.7"
"Josiah Deguara","GB","0.6","6.9","0.0","0.0","0.7"
"Ross Travis","ARI","0.6","6.8","0.0","0.0","0.7"
"Andrew Beck","DEN","0.4","3.6","0.1","0.0","0.7"
"Noah Togiai","PHI","0.6","6.7","0.0","0.0","0.6"
"Codey McElroy","TB","0.5","5.4","0.0","0.0","0.5"
"Sammis Reyes","WAS","0.5","5.1","0.0","0.0","0.5"
"Cethan Carter","MIA","0.4","4.3","0.0","0.0","0.4"
"Jesse James","CHI","0.6","4.2","0.0","0.0","0.4"
"Shane Zylstra","DET","0.2","4.0","0.0","0.0","0.4"
"Mitchell Wilcox","CIN","0.3","3.7","0.0","0.0","0.4"
"Deon Yelder","TB","0.2","3.0","0.0","0.0","0.3"
"Eric Tomlinson","BAL","0.3","3.0","0.0","0.0","0.3"
"Nick Bowers","LV","0.2","2.0","0.0","0.0","0.2"
"Nick Ralston","DAL","0.2","2.0","0.0","0.0","0.2"
"Tyler Mabry","SEA","0.1","1.0","0.0","0.0","0.1"
"Jeremy Sprinkle","DAL","0.0","1.0","0.0","0.0","0.1"
""
""